Objectives ^nns++++=Objectives:
: ^zz++++=EXTRAWORD
The ^ati++++=The
objective ^nn++++=objective
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
was ^vbd+bedz+vrb++=was
to ^in++++=to
analyze ^nn+++??+=analyze
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^jj++++=pandemic
on ^in++++=on
primary ^jj+atrb+++=Primary
health ^nn++++=Health
care ^nn++++=Care
in ^in++++=in
brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
