Methods ^nns++++=Methods:
: ^zz++++=EXTRAWORD
This ^dt+dem+++=This
retrospective ^jj++++=retrospective
ecological ^jj++++=ecological
study ^vb++++=study
utilized ^vbd+++xvbn+=utilized
data ^nns++++=data
from ^in++++=from
Brazilian ^jj+atrb+++=Brazilian
municipalities ^nns+nom+++=municipalities,
, ^zz++++=EXTRAWORD
sourced ^j+++xvbn+=sourced
from ^in++++=from
the ^ati++++=the
information ^nn+nom+++=information
systems ^nns++++=systems
of ^in++++=of
the ^ati++++=the
National ^jj+atrb+++=National
Public ^jj+atrb+++=Public
Health ^nn++++=Health
System ^nn++++=System.
. ^zz++++=EXTRAWORD
The ^ati++++=The
primary ^nn++++=primary
outcomes ^vbz+++??+=outcomes
assessed ^vbd+++xvbn+=assessed
were ^vbd+bed+vrb++=were
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
medical ^jj+atrb+++=medical
appointments ^nns+nom+++=appointments,
, ^zz++++=EXTRAWORD
prenatal ^jj+atrb+++=prenatal
procedures ^nns++++=procedures,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
diabetes ^nn++++=diabetes
care ^nn++++=care
interventions ^nns+nom+++=interventions.
. ^zz++++=EXTRAWORD
The ^ati++++=The
main ^jjb+atrb+++=main
exposure ^nn++++=exposure
variable ^nn++++=variable
was ^vbd+bedz+vrb++=was
the ^ati++++=the
occurrence ^nn+nom+++=occurrence
of ^in++++=of
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn++++=pandemic,
, ^zz++++=EXTRAWORD
defined ^vpbn+vprv++xvbn+=defined
by ^in++++=by
the ^ati++++=the
date ^nn++++=date
of ^in++++=of
the ^ati++++=the
first ^od++++=first
reported ^vbd+vpub++xvbn+=reported
case ^nn++++=case
in ^in++++=in
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
Associations ^nns+nom+++=Associations
between ^in++++=between
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
procedures ^nns++++=procedures
per ^in++++=per
10,000 ^cd++++=10,000
inhabitants ^nns+nom+++=inhabitants
and ^cc++++=and
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn++++=pandemic
were ^vbd+bed+aux++=were
analyzed ^vpsv++agls+xvbnx+=analyzed
using ^vbg+++xvbg+=using
multilevel ^nn++++=multilevel
mixed ^jj++++=mixed-effects
- ^zz++++=EXTRAWORD
effects ^nns++++=EXTRAWORD
negative ^jj+atrb+++=negative
binomial ^jj+atrb+++=binomial
regression ^nn++++=regression.
. ^zz++++=EXTRAWORD
