Table ^nn++++=Table
X ^zz++++=X
presents ^vbz++++=presents
data ^nns++++=data
on ^in++++=on
the ^ati++++=the
identification ^nn+nom+++=identification
of ^in++++=of
gifted ^jj+atrb+++=gifted
Black ^jj+atrb+++=Black
female ^nn++++=female
students ^nns++++=students
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
as ^in++++=as
reported ^nn++++=reported
by ^in++++=by
Inep ^np+++??+=INEP
( ^zz++++=(2019).
2019 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Nationwide ^np+++??+=Nationwide,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
377 ^cd++++=377
Black ^jj+atrb+++=Black
female ^nn++++=female
students ^nns++++=students
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
identified ^vpsv++agls+xvbnx+=identified
as ^ql++++=as
gifted ^jj++++=gifted,
, ^zz++++=EXTRAWORD
representing ^vbg+++xvbg+=representing
2.6 ^cd++++=2.6%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
total ^jj+atrb+++=total
population ^nn+nom+++=population
of ^in++++=of
Brazilian ^jj+atrb+++=Brazilian
female ^jj+atrb+++=female
students ^nns++++=students.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
compared ^xvbn+++xvbn+=compared
to ^in++++=to
the ^ati++++=the
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
students ^nns++++=students
enrolled ^vbd+++xvbn+=enrolled
in ^in++++=in
basic ^jj+atrb+++=basic
education ^nn+nom+++=education
across ^in+pl+++=across
the ^ati++++=the
country ^nn++++=country
( ^zz++++=(47.8
47.8 ^cd++++=EXTRAWORD
million ^cd++++=million),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
individuals ^nns+nom+++=individuals
constitute ^vb++++=constitute
approximately ^rb+down+++=approximately
0.00079 ^nn++++=0.00079%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
overall ^jjb+atrb+++=overall
student ^nn++++=student
population ^nn+nom+++=population.
. ^zz++++=EXTRAWORD
