Many ^ap++++=Many
speakers ^nns+nom+++=speakers
accept ^vb+vprv+++=accept
an ^at++++=an
utterance ^nn+nom+++=utterance
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
wh ^nn+++??+=wh-sentence
- ^zz++++=EXTRAWORD
sentence ^nn+nom+++=EXTRAWORD
can ^md+pos+++=can
be ^vb+be+aux++=be
extraposed ^vpsv++agls+xvbnx+=extraposed,
, ^zz++++=EXTRAWORD
as ^in++++=as
shown ^nn++++=shown
in ^in++++=in
( ^zz++++=(47),
47 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
do ^vb+do+aux++=do
not ^xnot++not++=not
accept ^vb+vprv+++=accept
extraposition ^nn+nom+++=extraposition
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
illustrated ^vwbn+++xvbn+=illustrated
in ^in++++=in
( ^zz++++=(48).
48 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
