Library ^nn+nom+++=Library
holdings ^nns++++=holdings
and ^cc++++=and
open ^jj+atrb+++=open
access ^nn++++=access
should ^md+nec+++=should
be ^vb+be+aux++=be
systematically ^rb++splt++=systematically
reviewed ^vpsv++agls+xvbnx+=reviewed.
. ^zz++++=EXTRAWORD
An ^at++++=An
artificial ^jj+atrb+++=artificial
intelligence ^nn+nom+++=intelligence
system ^nn++++=system
would ^md+prd+++=would
analyze ^vb+++??+=analyze
a ^at++++=a
university ^npl+nom+++=university
s ^zz++++=s
syllabuses ^nns++++=syllabuses
to ^to++++=to
identify ^vbi++++=identify
which ^whp+who+++=which
assigned ^xvbn+++xvbn+=assigned
readings ^nns++++=readings
are ^vb+ber+vrb++=are
accessible ^jj+pred+++=accessible
to ^in++++=to
students ^nns++++=students
via ^in++++=via
institutional ^jj+atrb+++=institutional
licenses ^nns++++=licenses
or ^cc++++=or
open ^jj+atrb+++=open
access ^nn++++=access
platforms ^nns++++=platforms.
. ^zz++++=EXTRAWORD
Materials ^nns+nom+++=Materials
not ^xnot++not++=not
currently ^rb++++=currently
licensed ^jj++++=licensed
by ^in++++=by
the ^ati++++=the
university ^nn+nom+++=university
would ^md+prd+++=would
be ^vb+be+aux++=be
flagged ^vpsv++agls+xvbnx+=flagged
as ^in++++=as
acquisition ^nn+nom+++=acquisition
recommendations ^nns+nom+++=recommendations.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ongoing ^jj+atrb++xvbg+=ongoing
evaluation ^nn+nom+++=evaluation
of ^in++++=of
academic ^jj+atrb+++=academic
resources ^nns++++=resources
prioritized ^vwbn+++xvbn+=prioritized
by ^in++++=by
instructors ^nns++++=instructors
informs ^vbz++++=informs
the ^ati++++=the
subsequent ^nn++++=subsequent
step ^vb++++=step.
. ^zz++++=EXTRAWORD
Non ^&fw++++=Non-academic
- ^zz++++=EXTRAWORD
academic ^jj+atrb+++=EXTRAWORD
readings ^nns++++=readings
lacking ^vwbg+++xvbg+=lacking
institutional ^jj+atrb+++=institutional
licenses ^nns++++=licenses
would ^md+prd+++=would
proceed ^vb++++=proceed
to ^in++++=to
the ^ati++++=the
third ^od++++=third
step ^vb++++=step
for ^in++++=for
further ^jjb+atrb+++=further
processing ^nn++++=processing.
. ^zz++++=EXTRAWORD
